id_recette,ingredient,quantity
1,carottes,2
1,oignon jaune,1
1,bouillon de légumes,1 cube
1,crème fraîche,1 petit pot
1,farine,2 cuillères à soupe
1,beurre doux,10 g
1,blanquette de veau,1 kg
1,champignon,1 petite boîte
1,bouillon de poule,1 cube
1,vin blanc,25 cl
1,jaunes d'oeuf,2
1,jus de citron,1 cuillère à café
1,sel et poivre,
2,quatre-épices,3 pincées
2,sel,15 g
2,poivre,1 pincée
2,foie,2
2,paprika,2 pincées
2,Sauternes,0.5 verre
3,carottes,2
3,oignons,2
3,romarin,1 brin
3,huile d'olive,1 cuillère à soupe
3,beurre,30 g
3,farine,
3,gros sel,
3,épaule,1.5 kg
3,bourgogne,1 bouteille
3,champignon,1 petite boîte
3,sauge,6 feuilles
3,bouquet garni,1
3,marc,1 cuillère à soupe
4,poivron rouge,1
4,poivron vert,1
4,oignon,1
4,coriandre,
4,cumin,1 cuillère à soupe
4,huile,
4,blancs de poulet,2
4,sucre en poudre,1 cuillère à soupe
4,citron,
4,ail,
4,sauce soja,
4,cannelle,1 cuillère à café
5,vin rouge,1 bouteille
5,sucre,100 g
5,maïzena,1 cuillère à café
5,miel,
5,poivre,
5,sel,
5,clous de girofle,2
5,Magrets de Canard,2
5,poires,2
5,sirop de cassis,10 cl
5,lait,10 cl
5,cannelle,
6,oignons,2
6,huile,
6,chevreuil,1
6,concentré de tomates,1 boîte
6,vin blanc sec,60 cl
6,madère,
7,vin rouge,50 cl
7,miel,2 cuillères à soupe
7,huile d'olive,
7,souris d'agneau,4
7,oignon,1
7,carotte,1
7,ail,2 gousses
7,romarin,1 branche
7,farine,1 cuillère à soupe
7,sel et poivre,
7,vin rouge,1 verre
7,beurre,
7,chou rouge,800 g
7,oignon rouge,1
7,vinaigre balsamique,5 cl
7,huile d'olive,
7,champignons de Paris,8
7,radis,8
7,pousses d'épinards,100 g
7,persil,1 botte
7,vinaigre balsamique,
7,fleur de sel,
8,clous de girofle,3
8,vin rouge,35 cl
8,huile d'olive,
8,beurre,
8,joue,1 kg
8,oignon,1
8,carotte,1
8,ail,1 gousse
8,coriandre en grains,5 g
8,bouquet garni,1
8,cidre,35 cl
8,farine,2 cuillères à soupe
8,cognac,3 cl
8,vinaigre de vin,
8,concentré de tomates,1 cuillère à soupe
8,sel et poivre,
8,beurre,50 g
8,topinambour,500 g
8,gros sel,
8,huile d'olive,5 cl
8,choux de bruxelles,4
8,carotte,1
8,carotte pourpre,1
8,radis,8
8,citron vert,1
8,orange,1
8,gingembre,5 g
8,piment d'Espelette,
8,cresson,1 botte
9,clous de girofle,3
9,vin rouge,75 cl
9,huile d'olive,
9,beurre,
9,chevreuil,1 kg
9,parures,300 g
9,oignon,1
9,carotte,1
9,ail,2 gousses
9,bouquet garni,1
9,farine,2 cuillères à soupe
9,cognac,3 cl
9,vinaigre de vin rouge affiné,
9,concentré de tomates,1 cuillère à soupe
9,sel et poivre,
9,topinambours,4
9,choux de bruxelles,6
9,thym citron,1 branche
9,violette,
9,beurre,50 g
9,carottes,4
9,ail des ours,8 feuilles
10,miel,100 g
10,beurre,50 g
10,carotte,500 g
10,cumin,
10,beurre,75 g
10,farine de sarrasin,330 g
10,eau,75 cl
10,oeuf,1
10,huile d'olive,100 cl
10,gigot d'agneau,2.5 kg
10,couenne,250 g
10,oignon,300 g
10,carotte,200 g
10,tomate,500 g
10,fond de veau,3 l
10,vin blanc,500 cl
10,cognac,100 cl
10,menthe,2 bouquets
10,sucrines,10
10,jus de cuisson,
10,beurre,100 g
10,oignon,500 g
10,agar-agar,
10,yaourt à la grecque,500 g
10,huile de pépin de raisin,250 cl
10,piment d'Espelette,
10,sel et poivre,
10,poivre blanc,
10,gros sel,
11,tomate,1 boîte de conserve
11,oignon,1
11,carotte,1
11,ail,1 gousse
11,basilic,
11,viande hachée,100 g
11,orzo,400 g
11,parmesan râpé,5 cuillères à soupe
11,sel et poivre,
12,beurre,1 noix
12,carré d'agneau,2
12,ail,2 gousses
12,sel et poivre,
12,graines de cardamone,5
12,beurre,50 g
12,parures,
12,échalotes,2
12,carotte,1
12,ail,2 gousses
12,fond blanc de cuisson,50 cl
12,poivre long,10 grains
12,sarriette,
12,muscade,
12,huile d'olive,
12,beurre,1 noix
12,pomme de terre,500 g
12,oeuf,1
12,fond de volaille,5 cl
12,pousses de moutarde rouge,
12,oignons rouges,2
12,ail,1 gousse
12,coriandre en grains,1 cuillère à café
12,poivre de sichuan,2 g
12,fenouil en grains,2 g
12,zeste de citron,1
12,poivre cubèbe ou à queue,
13,carottes,2
13,oignon jaune,1
13,crème fraîche,1 petit pot
13,farine,
13,sel,
13,poivre,
13,bouillon de légumes,1
13,blanquette de veau,1 kg
13,bouillon de poule,1
13,champignon,1 petite boîte
13,citron,
13,jaune d'oeuf,1
13,vin blanc,25 cl
14,oignons,2
14,tomates cerise,1 poignée
14,feuille de laurier,
14,sel,1 petite poignée
14,poivre,
14,poulet,1
14,ail,3 gousses
14,jus de citron,1 cl
14,bouillon de volaille,1
15,huile d'olive,2 cuillères à soupe
15,poivre,1
15,sel,1
15,thym,1
15,rôti de boeuf,400 g
15,ail,1 gousse
15,eau,12 cl
16,bouillon de légumes,1
16,crème fraîche,40 cl
16,moutarde,
16,huile d'olive,
16,beurre,
16,filet mignon,1
16,vin blanc sec,25 cl
16,champignon,500 g
17,beurre,25 g
17,poivre,
17,sel,
17,huile d'olive,1 filet
17,rôti de porc,1
17,ail,1 gousse
17,eau,5 cl
18,lardons,100 g
18,beurre,50 g
18,vin rouge,0.6666667 l
18,oignons,2
18,farine,2 cuillères à soupe
18,sel,
18,poivre,
18,boeuf,800 g
18,ail,1 gousse
18,bouquet garni,1
18,champignons de Paris,250 g
19,oignon,1
19,thym,1 cuillère à café
19,feuilles de laurier,2
19,clou de girofle,1
19,huile d'olive,1 cuillère à soupe
19,cuisses de poulet,4
19,eau,50 cl
19,ail,1 gousse
19,bouillon de volaille,1
19,genièvre,3
20,huile de tournesol,
20,sel,
20,poivre,
20,rôti de veau,1
20,ail,4 gousses
20,champignons de Paris,1 boîte
21,huile d'olive,1 cuillère à soupe
21,fond de veau,2 cuillères à soupe
21,moutarde de Dijon,1 cuillère à soupe
21,vinaigre balsamique,1 cuillère à soupe
21,paupiettes de veau,4
21,ail,1 gousse
21,vin blanc,12.5 cl
21,eau,12.5 cl
22,oignons,2
22,carottes,3
22,beurre,30 g
22,huile d'olive,2 cuillères à soupe
22,crème fraîche épaisse,20 cl
22,moutarde,2 cuillères à soupe
22,farine,2 cuillères à soupe
22,sauté de porc,1 kg
22,vin blanc,25 cl
22,eau,25 cl
23,romarin,2 branches
23,gros sel,1 cuillère à soupe
23,gigot d'agneau,1
23,ail,2 gousses
23,graisse d'oie,
23,ail,
24,côte de boeuf,1
24,huile,
24,fleur de sel,
24,poivre,
24,thym,5 brins
25,beurre,50 g
25,sel,
25,poivre,
25,poulet,1
25,herbes de Provence,
25,pommes de terre,20
26,huile,10 cl
26,tomates concassées,1 boîte de 400 g
26,carotte,200 g
26,oignon,100 g
26,farine,
26,poivre,
26,sel,
26,jarret de veau,4 tranches
26,ail,3 gousses
26,vin blanc sec,20 cl
26,bouquet garni,1
27,gros sel,1 pincée
27,Magrets de Canard,3
27,poivre en grains,
28,gingembre,1 cuill├©re ├Ā caf├®
28,curry,
28,oignons jaunes,2
28,escalopes de poulet,4
28,lait de coco,
28,champignons de Paris,
29,moutarde à l'ancienne,1 pot
29,beurre,50 g
29,huile d'olive,4 cuillères
29,thym,2 branches
29,sel,
29,poivre,
29,filets mignons,2
29,pomme de terre,2 kg
29,laurier,2 branches
30,oignon,1
30,huile d'olive,1 cuillĂ¨re Ă  soupe
30,curry,1 cuillĂ¨re Ă  cafĂŠ
30,crĂ¨me fraĂŽche ĂŠpaisse,10 cl
30,sel,
30,poivre,
30,filets de poulet,4
30,ail,
30,sauce soja,4 cuillĂ¨res Ă  soupe
30,ciboulette,4 brins
31,vinaigre d'alcool,20 cl
31,oignon,1
31,bouillons,2
31,thym,1 branche
31,feuilles de laurier,5
31,sel,
31,poivre,
31,beurre,50 g
31,oignon,1
31,farine,3 cuillères à soupe
31,langue,1
31,cornichons,100 g
31,patrelle,1 cuillère à café
32,tomate,1 kg
32,poivron,700 g
32,oignons,3
32,huile d'olive,6 cuillères à soupe
32,sel,
32,poivre,
32,poulet,1
32,ail,3 gousses
32,vin blanc,20 cl
32,bouquet garni,1
33,harissa,
33,huile d'olive,5 cl
33,fleur de sel,
33,poivre,
33,thym,
33,romarin,
33,épaule d'agneau,1.5 kg
33,échalotes,12
33,ail,8 gousses
34,huile d'olive,
34,fond de veau,
34,porc,1
34,pomme de terre,1 kg
35,oignon,1
35,saucisses de Morteau,2
35,saucisses de Montbéliard,3
35,huile d'olive,2 cuillères à soupe
35,poivre,
35,sel,
35,chou,1
35,pommes de terre,8
35,rôti de porc,1
35,lardons fumés,1 barquette
35,bouquets garnis,2
35,crème,20 cl
36,lardons,1 poignée
36,oignons,2
36,carottes,2
36,clous de girofle,2
36,bouillon,1
36,maïzena,2 cuillères à soupe
36,huile d'olive,2 cuillères à soupe
36,vin rouge,50 cl
36,joue,1.5
36,champignons de Paris,200 g
36,bouquet garni,1
36,ail,1 gousse
37,beurre,
37,huile,
37,oignons,2
